Nombre Comuna;Código Comuna desde 2018;Nombre Región desde 2018;Código Región desde 2018
Arica;15101;De Arica y Parinacota;15
Camarones;15102;De Arica y Parinacota;15
Putre;15201;De Arica y Parinacota;15
General Lagos;15202;De Arica y Parinacota;15
Iquique;01101;De Tarapacá;01
Camiña;01402;De Tarapacá;01
Colchane;01403;De Tarapacá;01
Huara;01404;De Tarapacá;01
Pica;01405;De Tarapacá;01
Pozo Almonte;01401;De Tarapacá;01
Alto Hospicio;01107;De Tarapacá;01
Antofagasta;02101;De Antofagasta;02
Mejillones;02102;De Antofagasta;02
Sierra Gorda;02103;De Antofagasta;02
Taltal;02104;De Antofagasta;02
Calama;02201;De Antofagasta;02
Ollagüe;02202;De Antofagasta;02
San Pedro de Atacama;02203;De Antofagasta;02
Tocopilla;02301;De Antofagasta;02
María Elena;02302;De Antofagasta;02
Copiapó;03101;De Atacama;03
Caldera;03102;De Atacama;03
Tierra Amarilla;03103;De Atacama;03
Chañaral;03201;De Atacama;03
Diego de Almagro;03202;De Atacama;03
Vallenar;03301;De Atacama;03
Alto del Carmen;03302;De Atacama;03
Freirina;03303;De Atacama;03
Huasco;03304;De Atacama;03
La Serena;04101;De Coquimbo;04
Coquimbo;04102;De Coquimbo;04
Andacollo;04103;De Coquimbo;04
La Higuera;04104;De Coquimbo;04
Paiguano;04105;De Coquimbo;04
Vicuña;04106;De Coquimbo;04
Illapel;04201;De Coquimbo;04
Canela;04202;De Coquimbo;04
Los Vilos;04203;De Coquimbo;04
Salamanca;04204;De Coquimbo;04
Ovalle;04301;De Coquimbo;04
Combarbalá;04302;De Coquimbo;04
Monte Patria;04303;De Coquimbo;04
Punitaqui;04304;De Coquimbo;04
Río Hurtado;04305;De Coquimbo;04
Valparaíso;05101;De Valparaíso;05
Casablanca;05102;De Valparaíso;05
Concón;05103;De Valparaíso;05
Juan Fernández;05104;De Valparaíso;05
Puchuncaví;05105;De Valparaíso;05
Quilpué;05801;De Valparaíso;05
Quintero;05107;De Valparaíso;05
Villa Alemana;05804;De Valparaíso;05
Viña del Mar;05109;De Valparaíso;05
Isla  de Pascua;05201;De Valparaíso;05
Los Andes;05301;De Valparaíso;05
Calle Larga;05302;De Valparaíso;05
Rinconada;05303;De Valparaíso;05
San Esteban;05304;De Valparaíso;05
La Ligua;05401;De Valparaíso;05
Cabildo;05402;De Valparaíso;05
Papudo;05403;De Valparaíso;05
Petorca;05404;De Valparaíso;05
Zapallar;05405;De Valparaíso;05
Quillota;05501;De Valparaíso;05
Calera;05502;De Valparaíso;05
Hijuelas;05503;De Valparaíso;05
La Cruz;05504;De Valparaíso;05
Limache;05802;De Valparaíso;05
Nogales;05506;De Valparaíso;05
Olmué;05803;De Valparaíso;05
San Antonio;05601;De Valparaíso;05
Algarrobo;05602;De Valparaíso;05
Cartagena;05603;De Valparaíso;05
El Quisco;05604;De Valparaíso;05
El Tabo;05605;De Valparaíso;05
Santo Domingo;05606;De Valparaíso;05
San Felipe;05701;De Valparaíso;05
Catemu;05702;De Valparaíso;05
Llaillay;05703;De Valparaíso;05
Panquehue;05704;De Valparaíso;05
Putaendo;05705;De Valparaíso;05
Santa María;05706;De Valparaíso;05
Rancagua;06101;Del Libertador B. O'Higgins;06
Codegua;06102;Del Libertador B. O'Higgins;06
Coinco;06103;Del Libertador B. O'Higgins;06
